Emissions by sectors,Regions ,GLOBAL,<30°N,30°N-60°N,60°N-90°N,Central America,Northern South America,Brazil,Southwest South America,Northern Africa,Equatorial Africa,Southern Africa,South Asia,Southeast Asia,Oceania,USA,Europe,Central Asia,Middle East,China,Korean Japan,Canada,Russia
,,,,,,Central_America,Northern_South_America,Brazil,Southwest_South_America,Northern_Africa,Equatorial_Africa,Southern_Africa,South_Asia,Southeast_Asia,Oceania,USA,Europe,Central_Asia,Middle_East,,,,
Biomass and Biofuel Burning - Posterior,PYVARLMDZ/GOSAT2,27.11,21.44,4.85,0.82,0.42,0.19,2.03,0.74,1.58,5.97,2.56,2.32,3.97,0.49,0.43,0.81,0.12,0.23,3.24,0.08,0.59,1.33
Biomass and Biofuel Burning - Posterior,PYVARLMDZ/GOSAT3,34.34,25.85,7.29,1.20,0.55,0.26,2.84,0.64,2.89,5.86,2.63,2.75,4.46,0.44,0.68,1.46,0.11,0.42,3.69,0.22,1.08,1.77
Biomass and Biofuel Burning - Posterior,PYVARLMDZ/GOSAT4,33.57,25.60,6.83,1.13,0.52,0.25,3.17,0.72,2.80,5.85,2.69,2.52,4.30,0.45,0.62,1.37,0.10,0.38,3.42,0.21,1.01,1.68
Biomass and Biofuel Burning - Posterior,PYVARLMDZ/GOSAT5,33.78,25.16,7.51,1.11,0.51,0.25,2.88,0.69,2.60,5.32,2.56,2.68,4.71,0.45,0.64,1.42,0.11,0.37,4.05,0.23,1.05,1.72
Biomass and Biofuel Burning - Posterior,PYVARLMDZ/GOSAT6,33.00,25.51,6.49,0.99,0.49,0.25,3.19,0.76,2.65,5.61,2.68,2.46,4.63,0.46,0.58,1.27,0.09,0.34,3.40,0.21,0.91,1.49
Biomass and Biofuel Burning - Posterior,PYVARLMDZ/SURF1,33.19,24.46,7.16,1.57,0.52,0.23,2.39,0.57,2.50,4.78,2.34,3.04,4.90,0.43,0.78,1.39,0.12,0.42,3.48,0.17,1.21,2.42
Biomass and Biofuel Burning - Posterior,PYVARLMDZ/SURF2,31.89,24.10,6.35,1.44,0.51,0.23,2.47,0.60,2.48,4.78,2.38,2.83,4.79,0.44,0.74,1.36,0.11,0.41,2.79,0.18,1.18,2.18
Biomass and Biofuel Burning - Posterior,TM5-4Dvar/GOSAT1,30.28,22.54,6.78,0.96,0.47,0.21,2.37,0.77,1.42,5.09,2.60,2.88,4.87,0.49,0.48,0.98,0.13,0.29,4.76,0.11,0.69,1.67
Biomass and Biofuel Burning - Posterior,TM5-4Dvar/GOSAT2,29.29,21.57,6.78,0.94,0.41,0.17,2.02,0.66,1.45,5.31,3.09,2.60,4.11,0.48,0.43,0.93,0.13,0.26,4.74,0.11,0.69,1.70
Biomass and Biofuel Burning - Posterior,TM5-4Dvar/SURF1,30.72,22.99,6.85,0.88,0.49,0.20,2.08,0.72,1.47,4.95,2.82,2.88,5.49,0.49,0.49,0.97,0.14,0.31,4.77,0.11,0.63,1.70
Biomass and Biofuel Burning - Posterior,TM5-4Dvar/SURF2,29.53,21.92,6.72,0.88,0.42,0.16,1.83,0.67,1.41,5.04,3.11,2.59,4.89,0.48,0.46,0.92,0.15,0.27,4.67,0.11,0.66,1.67
Biomass and Biofuel Burning - Posterior,TM5-CAMS/GOSAT,28.60,22.50,5.26,0.84,0.48,0.16,2.70,0.96,2.25,5.26,3.16,2.17,4.46,0.69,0.57,1.39,0.15,0.31,1.68,0.06,0.60,1.52
