year,animal,population_Mhd
2012,rabbits and hares,529.766
2012,"rodents, other",18.925
2012,sheep,1278.744711
2012,turkeys,462.387
2013,asses,51.612744
2013,beehives,93.871932
2013,buffaloes,223.737487
2013,"camelids, other",8.837069
2013,camels,31.585425
2013,cattle,1494.931819
2013,chickens,32359.451999999997
2013,ducks,1803.788
2013,geese and guinea fowls,634.653
2013,goats,1106.651062
2013,horses,60.915263
2013,mules,10.490931
2013,pigs,1464.561787
2013,rabbits and hares,529.672
2013,"rodents, other",18.925
2013,sheep,1309.965114
2013,turkeys,449.909
2014,asses,52.028211
2014,beehives,96.492595
2014,buffaloes,225.249069
2014,"camelids, other",8.89414
2014,camels,32.398603
2014,cattle,1502.43437
2014,chickens,32370.674
2014,ducks,1740.181
2014,geese and guinea fowls,614.0649999999999
2014,goats,1121.109059
2014,horses,61.455861
2014,mules,10.546494
2014,pigs,1474.699503
2014,rabbits and hares,530.094
2014,"rodents, other",18.925
2014,sheep,1303.863513
2014,turkeys,448.44800000000004
2015,asses,54.238233
2015,beehives,98.356684
2015,buffaloes,226.674764
2015,"camelids, other",8.865476000000001
2015,camels,33.261514
2015,cattle,1515.15976
2015,chickens,33336.784
2015,ducks,1793.347
2015,geese and guinea fowls,639.274
2015,goats,1146.564407
2015,horses,61.336983
2015,mules,10.040192
2015,pigs,1469.423527
2015,rabbits and hares,517.969
2015,"rodents, other",18.949
2015,sheep,1344.4156150000001
2015,turkeys,446.87399999999997
2016,asses,54.274766
2016,beehives,99.3676
2016,buffaloes,228.07450300000002
2016,"camelids, other",8.902207
2016,camels,34.167055
2016,cattle,1533.924858
2016,chickens,34507.85
2016,ducks,1834.838
2016,geese and guinea fowls,652.4050000000001
2016,goats,1174.255406
2016,horses,61.750635
2016,mules,9.748902
2016,pigs,1449.11176
2016,rabbits and hares,421.931
2016,"rodents, other",18.953
2016,sheep,1364.391607
2016,turkeys,462.56199999999995
2017,asses,53.237246999999996
2017,beehives,101.11409
2017,buffaloes,227.78821000000002
2017,"camelids, other",8.947377
2017,camels,35.29439
2017,cattle,1539.044975
2017,chickens,37104.157
2017,ducks,1910.011
2017,geese and guinea fowls,671.76
2017,goats,1183.7348670000001
2017,horses,61.073579
2017,mules,9.241281
2017,pigs,1424.814063
2017,rabbits and hares,329.078
2017,"rodents, other",18.862
2017,sheep,1370.7656299999999
2017,turkeys,461.86499999999995
2018,asses,53.591212
2018,beehives,99.918344
2018,buffaloes,229.93258
2018,"camelids, other",8.801937
2018,camels,36.209405000000004
2018,cattle,1557.349565
2018,chickens,37137.01
2018,ducks,1909.874
2018,geese and guinea fowls,665.999
2018,goats,1202.775811
2018,horses,59.780623
2018,mules,8.81273
2018,pigs,1404.458571
2018,rabbits and hares,309.895
2018,"rodents, other",18.988999999999997
2018,sheep,1375.260911
2018,turkeys,406.751
2019,asses,54.886611
2019,beehives,95.088138
2019,buffaloes,229.837176
2019,"camelids, other",8.883656
2019,camels,38.561641
2019,cattle,1574.929596
2019,chickens,37732.336
2019,ducks,1924.1509999999998
2019,geese and guinea fowls,671.543
2019,goats,1246.3401410000001
2019,horses,60.704236
2019,mules,8.698186
2019,pigs,1168.699157
2019,rabbits and hares,310.739
2019,"rodents, other",19.025
2019,sheep,1403.799993
2019,turkeys,404.331
2020,asses,55.285925
2020,beehives,90.548801
2020,buffaloes,230.756371
2020,"camelids, other",8.972852
2020,camels,39.065578
2020,cattle,1587.068322
2020,chickens,37232.972
2020,ducks,1840.711
2020,geese and guinea fowls,673.097
2020,goats,1261.315241
2020,horses,60.873062
2020,mules,8.535225
2020,pigs,1364.8042990000001
2020,rabbits and hares,301.03
2020,"rodents, other",19.06
2020,sheep,1435.589687
2020,turkeys,402.07800000000003
