year,region,animal,population_Mhd
1969,South America,pigs,43.974439
1969,South America,rabbits and hares,1.734
1969,South America,"rodents, other",20.879
1969,South America,sheep,119.727536
1969,South America,turkeys,2.093
1970,Africa,asses,11.217088
1970,Africa,beehives,8.15083
1970,Africa,buffaloes,2.009025
1970,Africa,camels,12.13795
1970,Africa,cattle,148.591253
1970,Africa,chickens,395.259
1970,Africa,ducks,7.945
1970,Africa,geese and guinea fowls,4.608
1970,Africa,goats,115.264137
1970,Africa,horses,3.695692
1970,Africa,mules,2.087487
1970,Africa,pigs,7.20803
1970,Africa,rabbits and hares,3.187
1970,Africa,sheep,159.232105
1970,Africa,turkeys,1.944
1970,Asia,asses,17.632794
1970,Asia,beehives,15.229994
1970,Asia,buffaloes,104.474437
1970,Asia,camels,4.165263
1970,Asia,cattle,341.219808
1970,Asia,chickens,1571.28
1970,Asia,ducks,208.362
1970,Asia,geese and guinea fowls,35.354
1970,Asia,goats,212.584141
1970,Asia,horses,16.531597
1970,Asia,mules,2.853327
1970,Asia,pigs,223.027973
1970,Asia,rabbits and hares,32.743
1970,Asia,sheep,263.917747
1970,Asia,turkeys,4.542
1970,Europe,asses,2.324088
1970,Europe,beehives,21.111815
1970,Europe,buffaloes,0.654382
1970,Europe,camels,0.244
1970,Europe,cattle,217.416401
1970,Europe,chickens,1644.322
1970,Europe,ducks,27.584
1970,Europe,geese and guinea fowls,13.869
1970,Europe,goats,17.069877
1970,Europe,horses,15.353099
1970,Europe,mules,1.137643
1970,Europe,pigs,186.54847
1970,Europe,rabbits and hares,92.663
1970,Europe,sheep,256.022454
1970,Europe,turkeys,40.772
1970,Northern America,asses,0.019006
1970,Northern America,beehives,5.04156
1970,Northern America,cattle,123.995901
1970,Northern America,chickens,1015.993
1970,Northern America,ducks,3.954
1970,Northern America,geese and guinea fowls,0.386
1970,Northern America,goats,2.588167
1970,Northern America,horses,4.511313
1970,Northern America,mules,0.028008
1970,Northern America,pigs,63.605814
1970,Northern America,sheep,20.951008
1970,Northern America,turkeys,120.739
1970,Oceania,asses,0.01148
1970,Oceania,beehives,0.568332
1970,Oceania,cattle,31.407664
1970,Oceania,chickens,34.616
1970,Oceania,ducks,0.338
1970,Oceania,geese and guinea fowls,0.083
1970,Oceania,goats,0.27588
1970,Oceania,horses,0.582984
1970,Oceania,pigs,3.956473
1970,Oceania,sheep,240.363368
1970,Oceania,turkeys,0.635
1970,South America,asses,3.733432
1970,South America,beehives,1.657233
1970,South America,buffaloes,0.118
1970,South America,"camelids, other",6.8732
1970,South America,cattle,177.440444
1970,South America,chickens,342.364
1970,South America,ducks,6.138
1970,South America,geese and guinea fowls,0.254
1970,South America,goats,18.395242
1970,South America,horses,12.445623
1970,South America,mules,2.7052
1970,South America,pigs,45.210566
1970,South America,rabbits and hares,1.769
1970,South America,"rodents, other",20.987
1970,South America,sheep,115.447105
1970,South America,turkeys,2.122
1971,Africa,asses,11.637486
1971,Africa,beehives,8.27685
1971,Africa,buffaloes,2.058025
1971,Africa,camels,12.350825
1971,Africa,cattle,150.741962
1971,Africa,chickens,411.655
1971,Africa,ducks,8.132
1971,Africa,geese and guinea fowls,4.683
1971,Africa,goats,115.978603
1971,Africa,horses,3.680431
1971,Africa,mules,2.076983
1971,Africa,pigs,7.379369
1971,Africa,rabbits and hares,3.411
1971,Africa,sheep,160.620939
1971,Africa,turkeys,2.057
1971,Asia,asses,18.178943
