,dam_name,height_m,reservoir_capacity_million_m^3,reservoir_area_km^2
18,Plain Diversion Dam,25.0,1790.0,487.2
19,Portage-des-Roches,24.0,374.1,52.3
20,Isle Maligne Spillway 1,45.0,5370.0,1066.5
21,Alouette,22.0,209.7,14.8
22,Mercier,29.0,3049.0,257.2
23,Exploits,11.0,1274.3,178.5
24,Upper Lake Falls,16.0,873.3,132.3
26,High Falls,19.0,103.6,15.4
27,Ear Falls Dam,,26355.1,1156.7
28,Sugar Lake,13.0,161.0,20.5
29,Ghost,42.0,132.0,10.2
30,Mattawin,26.0,790.0,79.0
31,Chute-a-Caron,59.0,810.0,21.4
32,Rapide-des-Cedres,27.0,714.2,44.2
34,Chats Falls Main,18.0,151.0,73.0
35,Seven Sisters,27.0,131.4,8.2
36,Corra-Linn,21.0,1010.0,412.1
38,Abitibi Canyon,107.0,45.6,5.1
40,Rapide Blanc,46.0,600.0,47.8
41,Salmon Hole,28.0,123.3,15.0
44,Kenogami Diversion Dam,21.0,312.2,3.9
46,Lake Manouan,11.0,2220.3,422.6
47,Lois,64.0,555.1,21.3
49,Barrett Chute,28.0,43.5,12.3
50,Bark Lake,20.0,372.5,41.2
51,Mitchinamecus,15.0,500.0,53.0
52,Loutre,20.0,54.0,2.8
53,Waboose Lake Main Sluice,16.0,851.1,197.9
54,Whitesand Rapids,12.0,14860.0,5424.9
57,Cascade Lake Minnewanka,35.0,387.3,19.5
58,Passes Dangereuses,48.0,5180.0,258.9
59,Upper Kananaskis,24.0,160.4,5.1
60,Brilliant,39.0,42.8,4.6
61,Barrier,44.0,23.2,2.6
63,Onatchiway,15.0,451.5,49.6
64,Stewartville,62.0,35.5,3.5
66,Agusabon Main,35.0,119.6,9.6
69,Rocky Island Control Dam,21.0,384.8,17.5
70,Rapide 7 Main Dam,20.0,610.0,180.0
72,Ladore Falls,38.0,320.7,23.1
74,Des Joachims Main Dam,52.0,1290.0,44.9
75,Pine Portage Main,43.0,12360.0,4475.1
78,Spray Canyon,60.0,421.9,17.7
80,Chute-du-Diable,34.0,362.6,44.9
81,McCormick,37.0,39.0,11.0
82,Fanshawe,32.0,48.1,2.3
83,Otto Holden,34.0,438.5,7.0
84,Whatshan,12.0,114.7,16.2
86,Kenney,104.0,23800.0,782.4
87,Mayo,11.0,264.8,92.5
88,Chute des Georges,49.0,1040.0,35.5
89,Chute a la Savane,40.0,255.3,16.5
90,Kiamika 2,19.0,377.7,6.0
92,Wahleach,21.0,66.6,3.9
94,Kiamika,16.0,618.1,41.1
97,McArthur,22.0,220.0,111.5
103,Lac Ste. Anne Principal,38.0,3273.0,124.1
104,Pocaterra,29.0,62.9,7.9
105,Comox Lake,11.0,104.2,20.0
106,Lajoie,87.0,720.7,18.9
107,Bersimis,61.0,13900.0,746.0
108,Sir Adam Beck Pump Generating Station,30.0,19.1,2.8
109,Upper Falls,29.0,520.0,27.7
110,Manitou Falls,21.0,354.0,4.5
112,Seton,14.0,148.3,24.5
113,Cabonga,14.0,1300.5,379.1
117,Clowhom,22.0,99.9,6.9
118,Cheakamus,29.0,52.4,2.8
121,Iroquois,20.0,29960.0,19347.0
122,Cameron Falls,,72.8,0.7
123,Caribou Falls,24.0,1950.0,206.8
124,Whitedog Falls,24.0,119.6,148.4
125,Elsie Lake Saddle Dam,30.0,77.0,5.2
126,Strathcona,53.0,1002.8,63.0
127,Bersimis 2,83.0,1620.0,37.5
129,Hollingsworth,37.0,646.1,45.1
130,Fourth Lake,22.0,145.6,20.7
131,Hart Jaune,23.0,2500.0,214.1
132,Kelsey,37.0,1850.0,125.2
133,Terzaghi,61.0,1021.3,22.6
134,Eugenia Falls 1,15.0,24.7,5.9
135,Red Rock Falls,24.0,61.7,4.1
137,E.B. Campbell,34.0,2200.0,252.1
138,Brazeau Dam,89.0,490.0,42.0
139,Little Long,37.0,357.6,14.4
141,Brazeau Canal Dike,69.0,220.0,15.4
143,Manicouagan 2,91.0,4250.0,111.2
145,Grand Rapids,66.0,9643.5,2497.2
147,Bay d'Espoir,40.0,5790.0,168.6
149,Fort Randall,20.0,4700.0,279.7
150,Mountain Chute Main,55.0,318.5,28.0
151,Duncan,39.0,1730.0,59.2
153,W.A.C. Bennett,183.0,74300.0,1623.9
154,Mactaquac,55.0,1360.5,46.7
155,Outardes 3,80.0,215.0,9.0
156,Daniel Johnson,214.0,141850.0,1619.3
158,Gardiner,69.0,9870.0,390.5
160,Outardes 4,122.0,24350.0,549.1
163,Granite,30.0,800.0,58.2
164,Burnt Dam,20.0,129.0,18.2
165,Victoria Dike A,63.0,6300.0,145.9
166,Wells,24.0,191.2,17.4
168,Kettle Rapids Main Dam,46.0,2530.0,311.0
169,West Forebay Dike GJ-18,23.0,793.1,140.4
170,Churchill Falls,16.0,32320.0,4816.0
171,Lower Notch Generating Station,132.0,171.0,12.9
172,Mica,243.0,25000.0,316.0
173,Big Horn,150.0,1770.0,48.3
175,Manicouagan 3,108.0,10480.0,196.4
176,Jenpeg,24.0,31790.0,25413.0
178,Arnprior Main Dam,35.0,96.2,8.0
180,Missi Falls Control,18.0,4463.0,2944.9
183,Wreck Cove,17.0,22.1,4.4
184,Cheticamp,20.0,27.2,5.2
185,La Grande 2,168.0,61720.0,2717.7
186,Long Spruce,42.0,277.0,29.6
188,Outardes 2,55.0,204.0,25.6
189,La Grande 1,35.0,1200.0,77.8
190,Hinds Lake Main Dam,24.0,275.0,52.5
191,Opinaca,33.0,8490.0,951.9
193,La Grande 4,128.0,19530.0,749.5
194,Caniapiscau Barrage,54.0,53790.0,3235.1
195,La Grande 3,93.0,60020.0,2267.5
196,West Salmon Dam,21.0,30.0,20.8
198,Laforge 2,24.0,1840.0,257.4
200,Revelstoke,175.0,5180.0,108.9
202,Cat Arm Dam West,55.0,926.0,48.2
208,Limestone,40.0,350.0,27.3
212,Oldman River Dam,76.0,490.0,22.0
213,Laforge 1,57.0,3800.0,1120.8
221,Peribonka,80.0,698.8,23.0
223,East Forebay Dike GF-16,,790.0,124.7
225,La Boquilla,80.0,2894.0,
233,Sanalona,81.0,673.0,
235,Álvaro Obregón,90.0,2989.2,
236,Internacional Falcón,50.0,1956.0,177.0
237,Presidente Miguel Alemán,75.75,8119.0,
238,Adolfo Ruiz Cortines,88.5,1114.0,
239,Miguel Hidalgo y Costilla,81.0,2921.42,
251,Miguel Alemán,48.0,81.0,
282,Canseco,7.2,200.0,
289,Infiernillo,151.5,12500.0,
290,Plutarco Elías Calles,67.0,2963.0,
291,Netzahualcóyotl,138.0,10596.0,
292,Manuel M. Diéguez,114.0,258.0,
293,Adolfo López Mateos,105.5,3072.0,
296,José María Morelos,73.0,510.0,
299,Internacional La Amistad,87.0,2231.0,131.5
301,Tepuxtepec,47.0,323.0,
302,Dr. Belisario Domínguez,147.0,12762.0,
307,Manuel Moreno Torres,261.0,1632.0,
308,Gustavo Díaz Ordaz,116.0,1860.0,
310,José López Portillo,136.0,2800.0,
314,Carlos Ramírez Ulloa,126.0,1521.0,
315,Angel Albino Corzo,58.0,1091.1,
319,Solidaridad,187.0,5540.0,
322,Luis Donaldo Colosio,164.75,2908.1,
323,Ing. Fernando Hiriat Balderrama,203.0,930.0,
324,Leonardo Rodríguez Alcaine,186.0,2282.0,
331,Moosehead Lake East Dam,6.0,1726.9,299.5
332,West Grand Lake Dam,4.0,788.9,92.0
336,Wilson Pond Dam,7.0,18.2,2.1
338,Merrimack River Dam,39.0,24.5,2.9
342,Squam Lake,5.0,65.4,26.8
347,Locke Mills Dam,5.0,19.3,2.8
354,Lock Dam,4.0,129.8,52.2
355,Rhinelander,7.0,30.5,8.9
358,Dells,12.0,14.9,1.8
359,Eel Weir,7.0,473.6,118.7
361,Lake George Outlet,2.0,2775.3,113.4
363,Upper Mechanicville,19.0,13.2,3.0
367,Middle Dam,7.0,161.3,28.8
368,Upper Dam,8.0,236.9,59.5
371,Gardiner Water District Dam,6.0,17.4,6.5
374,Errol,8.0,147.1,31.8
380,Telos Dam,5.0,129.8,52.5
381,Hubbard Lake,2.0,70.3,35.0
409,Great Pond Storage Dam,4.0,54.1,33.9
410,Thurlow,27.0,22.5,2.2
417,Chittenden Reservoir,21.0,27.2,2.5
421,Alverno,6.0,129.6,41.0
423,Cascade 2,31.0,36.8,2.7
425,Spier Falls,146.0,39.8,2.6
427,Twin Branch,7.0,12.0,2.9
439,Union Falls,7.0,12.7,5.3
441,Saint Croix Falls,18.0,17.8,3.4
445,Minidoka,26.0,117.4,30.5
448,Wachusett Reservoir Dam,35.0,282.5,16.4
449,Woodland Dam,14.0,22.7,4.7
450,Dolby,20.0,69.4,10.0
453,Post Falls Middle Channel,18.0,277.5,125.5
454,Bellows Falls,48.0,68.5,3.4
455,West Buxton,9.0,16.3,0.4
456,Holcombe,18.0,56.7,11.5
458,Madison Dam,12.0,51.9,13.5
462,South Pelican,2.0,61.6,13.8
463,Long-on-Deerskin,3.0,75.1,3.3
466,Hatfield,30.0,18.6,3.2
473,Vernon,58.0,66.6,4.7
475,Rocky Creek,36.0,11.9,2.5
478,Pathfinder Dike,12.0,1253.8,75.1
480,Buffalo Bill,107.0,746.0,25.7
483,Bumping Lake,19.0,41.6,4.8
487,Lochmere,3.0,41.0,16.8
488,Millinocket Lake,6.0,108.1,34.4
492,High Falls,25.0,19.7,6.1
493,Kings Dam,9.0,22.4,6.3
494,Au Train,14.0,15.2,6.4
497,Rapidan,22.0,10.3,0.8
499,Cedar Falls,19.0,28.4,1.1
505,Barker,53.0,15.3,0.4
506,Magic Dam,39.0,240.5,12.5
511,Aziscohos,23.0,396.2,25.7
512,Abbott Brook Dike,8.0,396.2,13.4
513,Lloyd Shoals,32.0,132.0,9.4
514,Ocoee 1,41.0,102.7,6.1
520,Fish Lake,6.0,51.5,10.7
521,Theodore Roosevelt,109.0,1641.8,40.3
527,Hauser Dam,38.0,172.6,11.8
531,Lake Tapps Dike 2-B,5.0,57.5,7.8
533,Crescent Dams A-C,53.0,86.3,10.5
534,Goat Rock,21.0,12.3,3.5
535,Blewett Falls,23.0,119.6,8.8
538,Delta Dam,32.0,107.9,9.7
539,Cooke,15.0,37.0,5.9
540,Silver Lake,9.0,41.3,5.2
549,Carite,32.0,18.5,0.7
550,Dam 3,30.0,43.2,2.2
551,Somerset,34.0,234.4,4.6
553,Defiance Power Dam,7.0,12.1,1.9
556,Loud,12.0,15.5,2.1
563,Oneida,31.0,14.1,1.4
564,Ashton,18.0,12.1,1.4
568,Salmon Creek Dam,53.0,22.194,0.77699712
569,Phoenix Lock and Dam 1,11.0,27.1,4.5
571,Lay,43.0,326.9,32.4
572,Parr Shoals Dam,17.0,39.5,11.7
573,Prairie du Sac,15.0,238.3,31.9
574,Hinckley,25.0,114.5,10.4
575,Bennetts Bridge,15.0,93.0,10.9
583,Arrowrock,107.0,353.4,8.8
587,Masonry Dam,69.0,215.9,6.8
589,Grand Falls Main Dam,15.0,184.5,70.8
590,Lookout Shoals,27.0,32.6,3.8
591,Waterloo,17.0,292.4,173.6
592,Island Lake,17.0,218.3,31.6
593,Lahontan,49.0,391.3,29.2
594,Hebgen Dam,27.0,648.3,48.1
595,Long Lake,70.0,129.6,18.8
600,Ripogenus,25.0,1205.1,110.3
601,Fishing Creek,32.0,74.0,9.0
602,Great Falls,28.0,61.9,4.1
604,Elk Rapids,6.0,92.5,0.5
605,Lower Balsam Lake,12.0,27.5,7.4
609,Cranberry Lake,6.0,74.0,24.6
610,Yadkin Narrows,65.0,176.1,22.1
611,Oak Orchard Creek Dam,90.0,12.4,2.0
612,Mio,12.0,14.8,2.6
613,Wissota,24.0,69.1,20.5
617,Copco 1,76.0,58.0,3.7
619,Foote,16.0,37.0,5.9
625,Holter Dam,38.0,377.4,19.1
628,Wateree,28.0,323.7,43.7
629,Cheoah,72.0,43.2,1.8
630,Catawba,46.0,356.2,24.5
632,Zumbro Lake,20.0,43.2,1.9
633,Boulder Lake,6.0,37.4,11.2
636,Damariscotta Intake Dam,6.0,175.8,17.6
639,Prairie River,11.0,21.0,0.6
644,Soo Locks,17.0,1000.0,
645,Weston North Channel Dam,38.0,27.5,3.9
646,Canada Falls,15.0,33.0,6.4
650,Elephant Butte Dike,18.0,2932.4,110.4
652,Saddlebag Lake,14.0,22.3,0.8
655,Hyatt Dam,16.0,20.0,3.0
656,Link River Diversion,7.0,646.0,276.6
657,Lake Oswego,10.0,12.1,1.3
662,Cheboygan Dam,10.0,102.3,1.6
666,Whiteface Lake,11.0,57.9,17.1
674,Sherman Island,80.0,13.9,1.4
677,Mitchell,32.0,212.2,19.7
678,Tugalo,47.0,53.0,1.7
679,Mountain Island,29.0,56.7,7.1
681,Norway,10.0,20.2,3.0
686,Chippewa Reservoir,14.0,283.7,55.9
687,Winton,20.0,21.7,9.9
694,Wilson Dam,42.0,62.29,63.0
695,Harriman,66.0,392.2,5.2
697,Ayers Island Dam,107.0,12.3,1.7
699,Graham Lake Dam,13.0,178.9,35.7
700,Gantt,13.0,18.1,6.1
701,O'Shaughnessy,23.0,40.7,2.8
702,French Landing,12.0,30.8,4.5
703,Stillwater North Dam,17.0,222.0,21.6
704,Alcona,18.0,30.8,3.6
705,Norway Point,13.0,34.0,5.0
706,Caldron Falls,25.0,14.2,4.1
720,Moxie Dam,6.0,43.2,9.5
721,Yonah,28.0,14.4,1.0
722,Mathis and Terrora,34.0,38.2,2.1
723,Winthrop University Dam,31.0,304.0,36.1
725,Rhodhiss,22.0,83.4,6.5
726,Dix River Dam,87.0,284.3,7.3
727,Deep Creek Dam,26.0,178.9,14.6
728,Oakdale,18.0,50.0,5.3
729,Sanford,11.0,18.5,5.5
730,Edenville,16.0,81.7,8.6
731,Secord,17.0,18.5,2.9
732,Hodenpyl,27.0,85.1,6.8
735,Remmel,23.0,41.1,4.6
738,Chetek,5.0,42.1,11.6
740,Soda,29.0,19.4,4.1
749,Toronto,31.0,83.3,3.1
751,Jackman Dam,13.0,15.3,1.9
752,Gulf Island,99.0,69.2,10.9
754,Bartletts Ferry Main Dam,46.0,225.7,18.6
755,Martin,53.0,2004.4,134.0
756,Lake Lynn Dam,38.0,89.2,5.6
757,Wallenpaupack,21.0,333.0,21.0
760,Guernsey,41.0,55.8,6.8
761,Turtle Dam,8.0,294.8,60.2
768,Cushman 1,79.0,595.5,12.9
770,Rio,31.0,24.1,1.5
771,Marshfield 6,15.0,16.7,1.3
772,Brassua,15.0,349.1,29.1
773,Burton,41.0,133.2,9.0
774,Lake Lure Dam,38.0,55.4,2.8
775,High Rock,29.0,354.0,39.4
777,Willow,11.0,82.8,19.1
779,Cutler,35.0,81.4,10.0
780,Mystic Lake,14.0,25.9,1.1
784,Chelan Dam,12.0,834.0,127.7
785,Lower Baker Dam,84.0,200.6,7.1
790,Squa Pan,11.0,110.0,20.7
791,Jackson Bluff,18.0,185.0,28.9
792,Jordan,38.0,289.9,11.1
793,Tillery,27.0,206.0,19.2
794,Santeetlah,66.0,188.2,7.9
795,Oxford,37.0,157.3,13.2
805,Stony Gorge,47.0,62.1,4.1
810,Rocky River Main Dam,33.0,269.7,20.3
812,Schoodic Lake Dam,3.0,27.1,27.5
813,Walters,63.0,21.0,0.9
814,Bradford,4.0,100.8,3.4
820,Coolidge,77.0,1323.5,15.5
821,Stewart Mountain,63.0,84.9,4.1
823,Bull Run Reservoir Dam 1,61.0,41.6,1.3
824,Diablo,119.0,111.0,2.6
825,Conklingville,28.0,976.9,97.6
826,Comerford,52.0,39.8,3.7
828,Rainbow Lake Dam,3.0,14.9,6.4
829,Penobscot Lake Dam,5.0,11.5,4.0
830,Sourdnahunk Dam,4.0,14.6,5.3
831,Loon Lake Dam,5.0,14.6,4.6
832,Harrington Lake Dam,4.0,13.3,5.3
833,Lake Blackshear,13.0,178.9,27.1
834,Saluda,71.0,2713.7,180.8
835,Blue Ridge,51.0,241.6,9.4
836,Calderwood,70.0,50.7,1.6
839,Upper South Dam,6.0,49.5,28.6
840,Victoria,64.0,12.7,0.9
845,Echo,48.0,91.2,4.8
846,Deadwood,50.0,199.8,10.8
855,Cisco,3.0,13.0,15.0
858,Bagnell Dam,45.0,3302.0,175.8
863,Wallowa Lake,12.0,60.8,6.2
867,Upper Station Dam,5.0,16.8,7.2
869,Ford Lake,14.0,22.2,3.7
872,Carpenter,34.0,225.9,21.1
887,North Twin,11.0,484.4,78.4
903,Maloney,13.0,24.0,6.1
904,Sutherland,9.0,80.2,12.4
909,Hoover,223.0,36700.0,581.0
914,Seboomook,18.0,196.1,25.1
915,Wheeler,22.0,1318.6,154.8
916,Norris,81.0,3147.8,88.0
922,Allegan,9.0,25.5,6.2
923,Big Eau Pleine,13.0,169.0,6.0
924,Red Bluff Dam,32.0,640.1,16.1
946,Pineview,42.0,135.7,9.7
950,Ragged Lake,9.0,49.5,9.9
956,Buchanan Dam,45.0,1211.3,80.5
967,Minong Flowage,9.0,28.4,5.3
979,Caballo,29.0,285.6,28.2
983,Alcova,81.0,37.7,8.1
990,Waterbury,57.0,108.5,2.8
991,Pickwick Landing,34.0,1363.0,155.7
993,Tomahawk,8.0,18.7,7.6
995,Bond Falls,15.0,44.4,8.0
996,Roy Inks Dam,29.0,78.3,2.2
1025,Parker,98.0,803.0,60.8
1027,Seminoe,90.0,1254.8,57.2
1031,East Fork Rock Creek Dam,27.0,24.5,1.2
1035,Mattaceunk,14.0,85.2,6.5
1036,Guntersville,29.0,1293.9,166.9
1037,Claytor,42.0,286.2,14.6
1040,Tom Miller Dam,26.0,90.2,2.1
1048,Kerr,59.0,2209.2,486.6
1049,Boca,35.0,50.7,2.0
1055,Buzzards Roost Embankment,25.0,315.8,36.8
1056,Rocky River Dam,26.0,31.6,3.2
1058,Chickamauga,39.0,909.4,111.0
1059,Hiwassee,94.0,535.3,12.4
1064,Pensacola,46.0,2710.0,101.5
1065,Jeffrey Reg Dam,30.0,26.0,1.5
1073,Deer Creek,72.0,184.7,9.6
1078,Thorpe,46.0,82.8,5.0
1079,Cherokee Saddle Dam 1,30.0,1900.8,71.1
1082,Way,22.0,154.6,18.9
1083,Hoist,19.0,51.4,9.8
1085,Morris Sheppard,57.0,686.1,50.6
1090,Johnson Lake Dam,14.0,72.8,8.4
1091,Big Plum Creek,23.0,72.8,1.1
1092,Little Plum Creek,2.0,72.8,0.3
1093,Kingsley,49.0,2344.4,109.3
1105,Harry L. Englebright Dam,85.0,86.3,2.8
1107,Dos Bocas,57.0,48.6,1.2
1108,Pinopolis West Dam,42.0,1369.2,220.9
1109,North Santee Dam,21.0,1517.2,223.3
1110,Nottely,61.0,215.0,7.2
1111,Chatuge,46.0,296.7,21.5
1112,Nantahala,76.0,155.4,4.9
1113,Watts Bar,34.0,1449.3,120.5
1115,Du Bay,12.0,164.1,19.4
1117,Mansfield Dam,85.0,3975.5,51.3
1128,Green Mountain,94.0,139.1,6.6
1131,Franklin Falls Dam,43.0,190.0,13.5
1132,Millinocket Lake,3.0,35.8,10.6
1133,Apalachia,46.0,71.3,3.4
1135,Dale Hollow Dam,61.0,2104.3,89.6
1136,Brighton Dam,24.0,33.3,2.6
1138,Peavy Falls,29.0,42.2,10.8
1144,Fontana,146.0,1779.9,24.9
1145,Kentucky,63.0,7560.0,574.8
1149,Denison Dam,50.0,6406.9,263.1
1151,Norfork,76.0,2446.0,79.4
1160,Shasta,183.0,4890.7,102.4
1161,Alder,101.0,297.5,10.0
1168,Anderson Ranch,139.0,521.8,15.9
1170,Green River Dam,34.0,21.0,2.1
1175,Cascade,33.0,805.5,94.8
1177,Caonillas,73.0,67.8,1.9
1179,Skelton,23.0,41.3,1.4
1182,Flagstaff,13.0,536.6,63.3
1183,Watauga,101.0,835.1,21.4
1199,O'Sullivan,61.0,409.9,60.7
1200,Dry Falls,37.0,881.9,106.6
1202,French Lake,30.0,17.0,1.3
1204,Forest City,5.0,139.8,63.3
1211,Fort Gibson Lake,34.0,1584.3,67.4
1212,Petenwell,15.0,653.7,92.7
1217,Granby,91.0,574.3,24.7
1218,Lower Salmon,34.0,13.4,2.6
1220,Ross,165.0,1791.9,35.0
1222,Wilder,59.0,98.4,3.3
1223,South Holston,87.0,942.4,22.4
1226,Castle Rock,12.0,215.9,52.7
1229,Narrows Dam,60.0,740.8,22.4
1236,Brainerd,6.0,16.0,8.9
1243,Center Hill Dam,76.0,2580.4,59.6
1244,Wolf Creek,79.0,7510.7,159.5
1245,Max Starcke Dam,30.0,10.8,2.3
1246,Alvin Wirtz Dam,36.0,280.0,19.1
1247,Town Bluff Dam,14.0,377.9,17.8
1249,Whitney Lake,51.0,2590.8,70.6
1251,Bull Shoals,86.0,6670.7,153.1
1255,Flambeau,28.0,58.2,7.1
1258,Carter Lake Dam 1,65.0,124.6,4.2
1259,Boysen,67.0,678.3,74.4
1263,Stewarts Bridge,34.0,26.4,1.5
1265,Jim Woodruff Dam,28.0,501.0,83.5
1269,Boone,51.0,238.6,10.4
1279,Tenkiller Lake,60.0,1518.2,48.8
1285,Davis Bor,61.0,2242.9,98.6
1286,Willow Creek,39.0,13.8,1.1
1288,C.J. Strike,35.0,304.7,25.1
1291,Hungry Horse,172.0,3678.3,75.3
1292,Lower Bear,75.0,66.6,2.1
1294,Carry Falls Spillway,23.0,141.8,12.2
1295,Sinclair,32.0,604.4,37.9
1296,John H. Kerr Dam,44.0,4148.8,180.8
1297,Philpott Dam,67.0,392.6,8.2
1306,Blakely Mountain Dam,73.0,4638.8,144.1
1309,Garrison Dam,64.0,30220.0,1126.8
1313,Isabella Dam,56.0,700.6,23.8
1315,Lookout Point,84.0,589.2,11.5
1316,Detroit,141.0,561.2,8.5
1317,Yale,98.0,495.9,13.6
1318,Falcon Dam,50.0,1956.0,177.0
1323,J. Strom Thurmond Dam,61.0,4711.9,131.4
1325,Bear Creek,66.0,42.7,1.3
1327,Old Hickory Dam,30.0,672.2,58.4
1342,Pine Flat Dam,134.0,1233.5,15.4
1346,Indian Pond,50.0,133.2,12.7
1347,Upper Occoquan Dam,22.0,41.6,3.9
1356,Santa Felicia,65.0,108.5,3.6
1357,Gross,104.0,58.6,1.2
1360,Lucky Peak,104.0,378.7,5.7
1361,Albeni Falls,55.0,1424.7,360.3
1362,Folsom,104.0,1102.7,33.7
1364,Lemolo 1,37.0,14.5,1.4
1366,Dexter,36.0,36.9,3.4
1369,Rainbow Falls,25.0,15.0,2.3
1385,Wanship,53.0,75.1,3.5
1386,Palisades,82.0,1480.2,59.6
1388,Timothy Lake,30.0,85.1,5.5
1390,Blake Falls,18.0,15.6,2.4
1404,Glendo,58.0,560.4,36.0
1405,Menomonie,11.0,32.1,4.0
1406,Fort Peck Dam,78.0,23560.0,814.2
1409,Beardsley,87.0,120.6,1.8
1412,Howard Prairie,30.0,74.7,6.4
1413,Pelton,62.0,39.2,1.6
1414,Ketchikan Lakes,10.0,17.0,2.1
1416,Lakeport,3.0,256.6,181.8
1417,Buford,70.0,3150.3,133.6
1428,Gavins Point Dam,23.0,666.1,84.8
1430,Wishon Main,81.0,159.1,2.2
1431,Courtright,96.0,151.7,3.9
1433,Donnells,97.0,80.2,1.3
1436,Brownlee,126.0,1751.6,43.6
1437,Tulloch,62.0,84.4,3.2
1439,North Fork,63.0,23.0,0.9
1440,Swift 1,122.0,931.9,16.7
1441,Upper Baker Dam,95.0,352.0,19.0
1444,Oliver,21.0,39.5,6.6
1453,Table Rock Dam,79.0,4270.3,118.1
1462,Coyote Valley Dam,55.0,191.8,6.7
1463,West Pass Dike,35.0,352.1,17.6
1464,Lake Robinson Dam,17.0,68.5,8.0
1484,Noxon Rapids,55.0,493.4,23.1
1493,Lewis Smith,91.0,2060.8,62.6
1494,Weiss Main Dam,26.0,377.8,44.3
1513,Success Dam,48.0,101.5,3.6
1518,Oxbow,67.0,72.0,4.5
1524,Blue Lake,44.0,179.1,4.4
1528,Walter F. George Lock and Dam,52.0,1152.6,126.3
1530,Hartwell Dam,62.0,4241.6,189.2
1540,Greers Ferry,75.0,3508.0,118.5
1545,Terminus Dam,78.0,176.4,3.6
1557,Trinity,164.0,2633.5,56.3
1558,Iron Gate,53.0,71.5,3.7
1560,Hills Creek,104.0,439.1,7.4
1562,Bull Run Reservoir Dam 2,44.0,30.8,1.2
1564,Tolt Main Dam,61.0,84.4,4.0
1566,Cowans Ford,41.0,510.8,112.0
1568,Melton Hill,31.0,155.4,17.5
1570,Gaston,30.0,632.8,68.9
1571,Leesville,27.0,117.1,8.9
1578,Lewiston Reservoir Dike,47.0,115.0,7.3
1587,Beaver,70.0,2407.8,71.3
1593,Big Bend Dam,29.0,2343.6,228.4
1596,Glen Canyon,216.0,25070.0,120.7
1598,Flaming Gorge,153.0,4336.3,126.5
1600,Fontenelle,42.0,185.6,31.3
1610,Black Butte Dam,48.0,177.3,10.3
1611,Whiskeytown,86.0,263.4,11.1
1612,Smith,76.0,21.6,0.6
1613,Mayfield,76.0,219.6,7.4
1618,Logan Martin,43.0,801.8,55.7
1621,Smith Mountain,72.0,1408.6,71.1
1626,Canyon Lake,68.0,1393.0,30.6
1633,Eufaula Lake,35.0,4718.6,354.9
1634,Keystone Lake,37.0,2063.1,79.6
1635,Robert S. Kerr Dam,27.0,542.7,15.6
1636,Salina Dike,14.0,542.7,21.1
1642,Blue Ridge,52.0,18.5,0.9
1651,Cougar,158.0,270.1,2.8
1652,Round Butte,134.0,659.9,15.2
1662,Allatoona Lake Dam and Powerhouse,57.0,826.5,36.2
1670,Kinzua Dam,54.0,1603.5,41.4
1671,Sam Rayburn Dam And Reservoir,40.0,7815.6,380.1
1679,Senator Wash,29.0,13.2,0.9
1682,Blue Mesa,119.0,923.2,30.2
1687,Yellowtail,160.0,1760.6,11.0
1692,Rollins,69.0,81.4,2.4
1698,Fall Creek,62.0,154.2,3.3
1705,H. Neely Henry,32.0,149.0,26.3
1707,Barkley Dam,48.0,2568.1,255.1
1708,South Rivanna Dam,14.0,61.7,1.0
1712,Toledo Bend,34.0,6287.7,599.6
1722,Oahe Dam,75.0,29110.0,1092.6
1727,O'Neill Forebay Dike,5.0,79.9,8.7
1728,McSwain,30.0,12.3,0.7
1729,Exchequer Main,149.0,1480.2,19.3
1732,Vanceboro,5.0,264.5,68.1
1735,Walter Bouldin,52.0,289.9,2.9
1736,Nickajack,25.0,310.3,39.1
1737,J. Percy Priest Dam,45.0,804.2,52.8
1741,Muddy Run Main Dam,79.0,74.6,1.9
1755,Morrow Point,143.0,52.0,2.0
1765,Boundary,104.0,117.2,0.9
1766,B.F. Sisk,116.0,2419.3,48.8
1767,Thermalito Afterbay,12.0,70.3,12.5
1768,Thermalito Forebay,28.0,14.6,2.1
1769,Foster,38.0,75.2,3.2
1770,Green Peter,115.0,530.4,11.1
1779,T. Nelson Elliott Dam,24.0,34.5,2.1
1791,Chimney Rock,58.0,27.8,2.2
1792,Forebay,18.0,27.8,1.5
1797,Oroville,235.0,4366.5,45.6
1799,Mossyrock,185.0,2078.4,38.4
1800,Upper Silvis,18.0,46.9,0.8
1801,La Amistad Dam,87.0,2231.0,131.5
1829,Degray Dam,74.0,1698.6,45.2
1830,Dardanelle Lock and Dam,27.0,599.7,94.3
1831,Stockton Dam,49.0,2064.8,96.4
1845,Robert S. Kerr Lock and Dam,23.0,648.4,135.4
1848,Rampart,73.0,50.6,1.7
1851,Gunlock,36.0,18.5,0.7
1860,Box Canyon,64.0,32.1,1.5
1861,Skookumchuck,49.0,74.0,1.9
1863,Clifford,6.0,12.6,5.9
1867,Keowee,52.0,1178.7,58.5
1891,Northfield Mountain Main Dam,43.0,21.0,0.6
1897,North Anna Dam,27.0,376.2,44.7
1911,Soldier Creek,83.0,1390.9,61.1
1912,Lower Sunshine,49.0,88.6,3.5
1916,Main Dam,117.0,1588.5,29.2
1918,Laurel Dam,86.0,537.3,19.0
1926,Ludington,34.0,101.5,3.2
