,type,year,kcal_capita_day
1737,Aquatic Plants,2016,0
1698,Demersal Fish,2017,5
1608,Starchy Roots,2017,139
1738,Aquatic Plants,2017,0
1733,"Aquatic Animals, Others",2017,0
1718,Cephalopods,2017,1
1598,Animal Products,2017,519
1708,"Marine Fish, Other",2017,2
1593,Grand Total,2017,2919
1603,Cereals - Excluding Beer,2017,1312
1728,"Meat, Aquatic Mammals",2017,0
1723,"Molluscs, Other",2017,1
1713,Crustaceans,2017,3
1703,Pelagic Fish,2017,8
1638,Pigmeat,2017,122
1613,Treenuts,2017,16
1693,Freshwater Fish,2017,15
1643,Poultry Meat,2017,61
1648,"Meat, Other",2017,3
1633,Mutton & Goat Meat,2017,11
1653,"Offals, Edible",2017,7
1658,"Butter, Ghee",2017,31
1628,Bovine Meat,2017,38
1663,Cream,2017,2
1623,Fruits - Excluding Wine,2017,99
1673,"Fish, Body Oil",2017,0
1678,"Fish, Liver Oil",2017,0
1668,"Fats, Animals, Raw",2017,30
1618,Vegetables,2017,98
1683,Eggs,2017,37
1688,Milk - Excluding Butter,2017,141
1679,"Fish, Liver Oil",2018,0
1594,Grand Total,2018,2927
1629,Bovine Meat,2018,39
1654,"Offals, Edible",2018,7
1729,"Meat, Aquatic Mammals",2018,0
1699,Demersal Fish,2018,5
1649,"Meat, Other",2018,3
1639,Pigmeat,2018,123
1734,"Aquatic Animals, Others",2018,0
1634,Mutton & Goat Meat,2018,11
1644,Poultry Meat,2018,61
1609,Starchy Roots,2018,140
1689,Milk - Excluding Butter,2018,144
1724,"Molluscs, Other",2018,1
1659,"Butter, Ghee",2018,31
1614,Treenuts,2018,17
1684,Eggs,2018,38
1664,Cream,2018,2
1719,Cephalopods,2018,1
1624,Fruits - Excluding Wine,2018,101
1694,Freshwater Fish,2018,15
1599,Animal Products,2018,525
1669,"Fats, Animals, Raw",2018,30
1714,Crustaceans,2018,3
1704,Pelagic Fish,2018,8
1674,"Fish, Body Oil",2018,0
1619,Vegetables,2018,98
1709,"Marine Fish, Other",2018,2
1604,Cereals - Excluding Beer,2018,1307
1739,Aquatic Plants,2018,0
