Year,Flux into atmosphere,Sink/source type,Reported value,Units,Value
2010,source,anthropogenic emissions,mean,Pg CO2 yr-1,38.25
2011,source,anthropogenic emissions,mean,Pg CO2 yr-1,39.22
2012,source,anthropogenic emissions,mean,Pg CO2 yr-1,40.2
2013,source,anthropogenic emissions,mean,Pg CO2 yr-1,40.55
2014,source,anthropogenic emissions,mean,Pg CO2 yr-1,41.33
2015,source,anthropogenic emissions,mean,Pg CO2 yr-1,41.51
2016,source,anthropogenic emissions,mean,Pg CO2 yr-1,41.04
2017,source,anthropogenic emissions,mean,Pg CO2 yr-1,41.22
2018,source,anthropogenic emissions,mean,Pg CO2 yr-1,42.13
1959,sink,natural sink,mean,Pg CO2 yr-1,4.84
1960,sink,natural sink,mean,Pg CO2 yr-1,7.78
1961,sink,natural sink,mean,Pg CO2 yr-1,5.02
1962,sink,natural sink,mean,Pg CO2 yr-1,7.6
1963,sink,natural sink,mean,Pg CO2 yr-1,7.26
1964,sink,natural sink,mean,Pg CO2 yr-1,9.22
1965,sink,natural sink,mean,Pg CO2 yr-1,6.26
1966,sink,natural sink,mean,Pg CO2 yr-1,9.47
1967,sink,natural sink,mean,Pg CO2 yr-1,9.73
1968,sink,natural sink,mean,Pg CO2 yr-1,13.02
1969,sink,natural sink,mean,Pg CO2 yr-1,5.96
1970,sink,natural sink,mean,Pg CO2 yr-1,5.35
1971,sink,natural sink,mean,Pg CO2 yr-1,13.36
1972,sink,natural sink,mean,Pg CO2 yr-1,9.2
1973,sink,natural sink,mean,Pg CO2 yr-1,9.87
1974,sink,natural sink,mean,Pg CO2 yr-1,18.93
1975,sink,natural sink,mean,Pg CO2 yr-1,13.3
1976,sink,natural sink,mean,Pg CO2 yr-1,15.78
1977,sink,natural sink,mean,Pg CO2 yr-1,10.35
1978,sink,natural sink,mean,Pg CO2 yr-1,14.99
1979,sink,natural sink,mean,Pg CO2 yr-1,10.27
1980,sink,natural sink,mean,Pg CO2 yr-1,7.81
1981,sink,natural sink,mean,Pg CO2 yr-1,14.18
1982,sink,natural sink,mean,Pg CO2 yr-1,11.72
1983,sink,natural sink,mean,Pg CO2 yr-1,7.53
1984,sink,natural sink,mean,Pg CO2 yr-1,16.16
1985,sink,natural sink,mean,Pg CO2 yr-1,15.77
1986,sink,natural sink,mean,Pg CO2 yr-1,14.43
1987,sink,natural sink,mean,Pg CO2 yr-1,8.26
1988,sink,natural sink,mean,Pg CO2 yr-1,13.34
1989,sink,natural sink,mean,Pg CO2 yr-1,18.57
1990,sink,natural sink,mean,Pg CO2 yr-1,14.98
1991,sink,natural sink,mean,Pg CO2 yr-1,15.04
1992,sink,natural sink,mean,Pg CO2 yr-1,15.4
1993,sink,natural sink,mean,Pg CO2 yr-1,17.82
1994,sink,natural sink,mean,Pg CO2 yr-1,12.16
1995,sink,natural sink,mean,Pg CO2 yr-1,13.2
1996,sink,natural sink,mean,Pg CO2 yr-1,18.03
1997,sink,natural sink,mean,Pg CO2 yr-1,19.0
1998,sink,natural sink,mean,Pg CO2 yr-1,12.93
1999,sink,natural sink,mean,Pg CO2 yr-1,19.5
2000,sink,natural sink,mean,Pg CO2 yr-1,20.67
2001,sink,natural sink,mean,Pg CO2 yr-1,15.38
2002,sink,natural sink,mean,Pg CO2 yr-1,11.7
2003,sink,natural sink,mean,Pg CO2 yr-1,16.5
2004,sink,natural sink,mean,Pg CO2 yr-1,20.55
2005,sink,natural sink,mean,Pg CO2 yr-1,14.79
2006,sink,natural sink,mean,Pg CO2 yr-1,19.43
2007,sink,natural sink,mean,Pg CO2 yr-1,18.86
2008,sink,natural sink,mean,Pg CO2 yr-1,21.18
2009,sink,natural sink,mean,Pg CO2 yr-1,18.52
2010,sink,natural sink,mean,Pg CO2 yr-1,19.94
2011,sink,natural sink,mean,Pg CO2 yr-1,24.04
2012,sink,natural sink,mean,Pg CO2 yr-1,18.42
2013,sink,natural sink,mean,Pg CO2 yr-1,21.21
2014,sink,natural sink,mean,Pg CO2 yr-1,23.08
2015,sink,natural sink,mean,Pg CO2 yr-1,17.73
2016,sink,natural sink,mean,Pg CO2 yr-1,19.76
2017,sink,natural sink,mean,Pg CO2 yr-1,22.46
2018,sink,natural sink,mean,Pg CO2 yr-1,22.36
1959,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.44
1960,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.47
1961,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.47
1962,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.49
1963,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.51
1964,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.54
1965,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.56
1966,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.59
1967,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.61
1968,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.64
1969,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.69
1970,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.74
1971,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.77
1972,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.81
1973,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.85
1974,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.85
1975,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.85
1976,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.89
1977,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.92
1978,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.95
1979,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.97
1980,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.97
1981,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.94
1982,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.94
1983,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.95
1984,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,0.97
1985,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.01
1986,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.02
1987,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.06
1988,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.1
1989,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.11
1990,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.14
1991,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.16
1992,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.12
1993,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.14
1994,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.14
1995,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.17
1996,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.21
1997,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.21
1998,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.21
1999,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.22
2000,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.26
2001,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.27
2002,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.3
2003,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.36
2004,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.42
2005,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.47
2006,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.52
2007,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.57
2008,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.6
2009,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.58
2010,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.66
2011,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.71
2012,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.74
2013,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.75
2014,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.76
2015,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.76
2016,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.77
2017,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.79
2018,source,fossil fuel and industry,standard deviation,Pg CO2 yr-1,1.83
1959,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1960,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1961,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1962,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1963,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1964,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1965,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1966,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1967,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1968,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1969,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1970,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1971,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1972,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1973,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1974,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1975,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1976,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1977,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1978,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1979,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1980,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1981,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1982,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1983,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1984,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1985,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1986,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1987,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1988,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1989,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1990,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1991,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1992,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1993,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1994,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1995,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1996,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1997,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1998,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1999,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2000,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2001,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2002,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2003,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2004,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2005,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2006,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2007,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2008,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2009,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2010,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2011,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2012,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2013,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2014,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2015,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2016,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2017,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
2018,source,land-use change emissions,standard deviation,Pg CO2 yr-1,2.57
1959,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1960,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1961,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1962,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1963,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1964,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1965,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1966,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1967,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1968,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1969,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1970,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1971,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1972,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1973,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1974,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1975,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1976,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1977,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1978,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1979,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1980,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1981,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1982,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1983,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1984,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1985,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1986,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1987,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1988,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1989,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1990,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1991,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1992,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1993,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1994,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1995,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1996,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1997,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1998,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1999,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2000,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2001,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2002,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2003,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2004,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2005,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2006,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2007,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2008,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2009,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2010,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2011,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2012,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2013,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2014,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2015,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2016,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2017,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
2018,source,atmospheric growth,standard deviation,Pg CO2 yr-1,0.73
1959,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1960,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1961,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1962,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1963,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1964,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1965,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1966,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1967,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1968,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1969,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1970,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1971,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1972,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1973,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1974,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1975,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1976,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1977,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1978,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1979,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1980,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1981,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1982,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1983,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1984,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1985,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1986,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1987,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1988,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1989,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1990,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1991,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1992,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1993,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1994,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1995,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1996,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1997,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1998,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1999,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2000,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2001,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2002,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2003,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2004,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2005,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2006,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2007,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2008,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2009,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2010,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2011,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2012,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2013,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2014,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2015,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2016,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2017,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
2018,sink,ocean sink,standard deviation,Pg CO2 yr-1,1.83
1959,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1960,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1961,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1962,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1963,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1964,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1965,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1966,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1967,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1968,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1969,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1970,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1971,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1972,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1973,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1974,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1975,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1976,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1977,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1978,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1979,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1980,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1981,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1982,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1983,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1984,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1985,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1986,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1987,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1988,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1989,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1990,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1991,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1992,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1993,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1994,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1995,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1996,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1997,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1998,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1999,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2000,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2001,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2002,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2003,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2004,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2005,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2006,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2007,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2008,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2009,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2010,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2011,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2012,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2013,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2014,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2015,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2016,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2017,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
2018,sink,land sink,standard deviation,Pg CO2 yr-1,3.3
1959,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1960,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1961,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1962,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1963,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1964,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1965,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1966,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1967,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1968,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1969,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1970,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1971,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1972,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1973,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1974,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1975,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1976,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1977,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1978,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1979,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1980,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1981,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1982,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1983,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1984,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1985,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1986,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1987,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1988,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1989,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1990,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1991,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1992,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1993,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1994,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1995,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1996,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1997,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1998,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1999,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2000,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2001,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2002,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2003,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2004,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2005,source,budget imbalance,standard deviation,Pg CO2 yr-1,
